0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Sampling Interval
13.271,6.343,6.323,1.051,5.343,10.084,B2,30 seconds
11.734,4.594,6.696,4.911,2.526,0.17,B2,30 seconds
14.718,17.332,12.123,6.693,3.754,1.564,B2,30 seconds
15.93,8.958,2.621,9.364,3.01,3.463,B2,30 seconds
13.227,1.261,3.91,0.736,0.421,5.133,B2,30 seconds
4.97,4.153,4.485,1.937,4.003,2.973,B2,30 seconds
19.478,0.512,8.469,8.653,6.183,0.069,B2,30 seconds
9.821,5.273,1.782,4.093,12.022,4.83,B2,30 seconds
8.979,9.306,7.362,4.093,6.719,4.031,B2,30 seconds
4.037,9.353,10.988,0.978,4.734,5.611,B2,30 seconds
5.154,5.226,9.601,13.169,1.634,1.459,B2,30 seconds
5.34,2.567,0.271,7.337,2.567,0.978,B2,30 seconds
8.609,6.507,9.866,2.252,0.133,0.908,B2,30 seconds
1.562,13.738,13.069,16.0,10.031,1.97,B2,30 seconds
0.771,4.291,8.031,9.67,4.666,2.911,B2,30 seconds
13.505,5.48,8.064,8.524,7.139,2.675,B2,30 seconds
8.469,5.18,1.795,7.3,6.509,1.494,B2,30 seconds
12.994,7.277,15.669,3.862,6.818,4.666,B2,30 seconds
29.835,10.799,8.609,2.506,7.59,2.433,B2,30 seconds
10.381,3.57,1.873,1.447,0.667,4.497,B2,30 seconds
14.44,4.991,7.269,0.316,3.894,2.022,B2,30 seconds
3.614,9.262,17.268,9.367,6.087,0.605,B2,30 seconds
4.827,2.751,13.585,0.153,5.327,5.276,B2,30 seconds
16.49,25.214,3.21,8.83,1.618,2.74,B2,30 seconds
3.897,2.707,3.692,2.066,0.818,4.585,B2,30 seconds
2.401,4.127,4.734,4.641,3.692,2.361,B2,30 seconds
13.505,11.548,2.808,3.29,3.228,13.892,B2,30 seconds
7.393,4.946,3.552,3.279,7.86,2.139,B2,30 seconds
22.837,9.705,0.566,3.722,2.116,7.871,B2,30 seconds
10.101,9.285,1.764,14.251,4.799,4.252,B2,30 seconds
10.988,4.69,2.108,8.76,6.291,9.658,B2,30 seconds
7.442,7.815,4.578,6.544,5.172,3.877,B2,30 seconds
24.095,13.74,8.902,1.039,9.355,3.523,B2,30 seconds
1.471,14.251,1.222,8.466,4.177,3.43,B2,30 seconds
0.444,3.055,7.878,8.037,3.251,8.288,B2,30 seconds
12.945,11.265,4.299,4.349,0.356,2.903,B2,30 seconds
11.825,11.501,0.846,2.541,1.22,0.421,B2,30 seconds
8.233,13.67,3.132,1.457,5.086,10.723,B2,30 seconds
11.125,8.559,4.563,2.46,4.643,3.515,B2,30 seconds
29.975,12.245,1.035,2.555,2.557,5.066,B2,30 seconds
2.075,11.265,13.1,10.635,0.924,0.891,B2,30 seconds
0.444,13.32,6.54,1.296,2.964,1.815,B2,30 seconds
17.706,2.401,1.002,14.134,4.174,0.281,B2,30 seconds
4.034,6.742,2.666,11.755,6.017,0.121,B2,30 seconds
5.669,0.748,5.729,11.65,0.566,1.299,B2,30 seconds
0.349,5.924,2.093,9.658,1.554,7.172,B2,30 seconds
0.164,6.393,23.366,4.664,1.105,5.883,B2,30 seconds
5.11,15.443,3.01,11.942,9.067,5.71,B2,30 seconds
1.984,15.56,5.856,7.314,3.778,1.815,B2,30 seconds
8.842,6.672,0.211,5.704,3.008,1.57,B2,30 seconds
0.678,6.159,2.668,5.072,0.333,4.017,B2,30 seconds
5.716,1.258,6.385,2.089,5.154,1.028,B2,30 seconds
1.095,11.897,1.471,3.442,1.564,3.535,B2,30 seconds
5.996,18.73,7.564,5.833,8.678,0.66,B2,30 seconds
3.941,2.007,0.815,5.422,5.597,2.031,B2,30 seconds
0.955,9.122,3.088,12.142,4.299,13.318,B2,30 seconds
28.853,4.501,3.319,0.734,1.292,2.174,B2,30 seconds
10.335,10.195,8.546,7.629,7.419,5.669,B2,30 seconds
6.789,18.636,4.192,2.728,10.099,1.643,B2,30 seconds
19.572,3.547,3.381,0.104,4.485,2.083,B2,30 seconds
6.649,16.446,2.821,9.994,14.718,5.949,B2,30 seconds
11.641,15.324,2.09,9.842,1.665,3.249,B2,30 seconds
5.11,1.004,8.064,4.046,5.014,3.62,B2,30 seconds
1.002,10.545,9.632,1.214,5.403,7.489,B2,30 seconds
15.466,2.101,4.705,12.7,2.899,2.485,B2,30 seconds
1.564,16.469,7.302,3.754,4.884,4.299,B2,30 seconds
32.679,14.93,6.463,0.153,2.666,2.291,B2,30 seconds
1.331,1.165,6.323,0.479,6.864,2.139,B2,30 seconds
10.241,1.702,1.702,7.533,1.168,2.092,B2,30 seconds
10.055,10.638,1.437,2.929,4.299,2.888,B2,30 seconds
0.398,13.038,11.563,0.083,7.652,9.518,B2,30 seconds
5.016,3.267,1.764,4.921,2.448,1.667,B2,30 seconds
5.994,23.721,2.075,7.547,8.103,1.29,B2,30 seconds
17.937,11.079,12.403,8.434,0.102,3.69,B2,30 seconds
12.947,14.23,3.461,5.632,8.412,0.5,B2,30 seconds
4.643,4.27,1.795,11.279,11.151,3.305,B2,30 seconds
8.748,12.504,5.605,1.319,3.648,9.751,B2,30 seconds
19.523,2.287,4.05,2.168,2.223,3.381,B2,30 seconds
13.554,0.981,1.984,3.08,2.808,0.063,B2,30 seconds
8.142,0.722,7.582,2.112,8.904,6.515,B2,30 seconds
16.866,0.769,13.816,5.191,8.298,4.028,B2,30 seconds
4.41,6.602,1.391,5.504,0.11,0.285,B2,30 seconds
0.631,6.183,4.643,0.666,1.919,5.255,B2,30 seconds
0.025,6.602,2.373,9.635,0.095,7.256,B2,30 seconds
6.18,2.471,0.52,5.55,4.169,4.6,B2,30 seconds
18.17,12.084,8.839,0.316,11.219,2.238,B2,30 seconds
1.328,11.872,5.947,2.276,4.06,3.465,B2,30 seconds
10.568,7.976,12.154,14.265,1.087,0.812,B2,30 seconds
1.795,0.162,5.669,2.868,2.658,9.233,B2,30 seconds
3.477,6.043,9.679,1.144,2.176,4.287,B2,30 seconds
4.314,1.632,6.429,3.43,15.987,0.724,B2,30 seconds
5.576,1.587,0.367,2.95,2.147,3.877,B2,30 seconds
14.113,5.809,2.015,11.349,8.173,2.565,B2,30 seconds
28.622,1.587,16.024,4.013,6.429,1.468,B2,30 seconds
4.363,15.954,9.402,2.985,0.403,7.314,B2,30 seconds
25.497,34.524,26.321,4.851,3.236,1.305,B2,30 seconds
21.295,10.521,8.855,1.622,6.455,0.835,B2,30 seconds
12.341,20.202,9.99,13.341,3.552,5.588,B2,30 seconds
24.281,0.095,5.856,0.967,4.446,5.809,B2,30 seconds
7.022,11.872,13.414,0.675,4.283,0.31,B2,30 seconds
5.729,7.506,2.589,3.977,,,A1,30 seconds
6.384,10.295,5.352,10.872,,,A1,30 seconds
4.432,6.083,10.001,1.695,,,A1,30 seconds
0.419,0.72,17.269,5.428,,,A1,30 seconds
3.566,2.084,1.365,2.378,,,A1,30 seconds
6.27,8.576,11.206,0.532,,,A1,30 seconds
8.075,2.81,2.096,9.143,,,A1,30 seconds
4.506,8.929,2.553,9.392,,,A1,30 seconds
2.257,1.671,2.703,2.689,,,A1,30 seconds
0.407,8.374,8.132,14.423,,,A1,30 seconds
6.726,4.05,1.121,7.513,,,A1,30 seconds
10.438,5.77,0.694,2.264,,,A1,30 seconds
5.473,17.81,6.88,2.81,,,A1,30 seconds
1.443,7.89,10.03,4.546,,,A1,30 seconds
2.781,1.19,5.644,2.091,,,A1,30 seconds
2.667,6.481,5.181,0.471,,,A1,30 seconds
8.007,7.591,1.026,2.478,,,A1,30 seconds
1.83,2.143,4.887,8.018,,,A1,30 seconds
1.118,6.299,1.178,2.791,,,A1,30 seconds
4.136,1.884,2.98,4.449,,,A1,30 seconds
22.222,4.788,2.21,3.898,,,A1,30 seconds
3.367,12.672,1.586,1.735,,,A1,30 seconds
4.973,5.585,1.386,1.486,,,A1,30 seconds
2.041,2.257,1.984,4.624,,,A1,30 seconds
2.439,5.371,2.212,2.129,,,A1,30 seconds
0.407,12.16,11.168,0.917,,,A1,30 seconds
0.435,1.019,1.745,2.546,,,A1,30 seconds
5.701,13.213,4.119,4.311,,,A1,30 seconds
6.213,5.428,2.153,3.564,,,A1,30 seconds
26.519,3.094,4.717,1.844,,,A1,30 seconds
2.61,0.862,0.447,1.208,,,A1,30 seconds
0.891,4.119,5.827,1.759,,,A1,30 seconds
0.321,2.098,1.308,5.464,,,A1,30 seconds
4.033,3.535,7.345,5.53,,,A1,30 seconds
2.371,6.028,8.132,13.028,,,A1,30 seconds
3.891,2.311,0.4,3.215,,,A1,30 seconds
7.75,2.371,9.906,4.702,,,A1,30 seconds
2.769,3.336,1.877,2.148,,,A1,30 seconds
8.462,5.272,1.745,4.641,,,A1,30 seconds
6.754,3.822,2.772,6.439,,,A1,30 seconds
3.322,1.688,9.811,9.242,,,A1,30 seconds
2.61,3.123,1.178,2.048,,,A1,30 seconds
3.623,5.345,2.772,6.531,,,A1,30 seconds
1.984,3.35,10.741,5.684,,,A1,30 seconds
16.671,25.025,4.534,2.762,,,A1,30 seconds
15.362,7.85,13.227,3.514,,,A1,30 seconds
0.276,0.62,3.597,5.684,,,A1,30 seconds
10.011,2.926,4.743,11.747,,,A1,30 seconds
10.995,2.126,2.665,0.589,,,A1,30 seconds
4.164,4.204,3.718,0.881,,,A1,30 seconds
3.993,5.416,3.955,6.047,,,A1,30 seconds
2.371,4.162,2.335,3.407,,,A1,30 seconds
0.504,0.846,7.07,5.414,,,A1,30 seconds
6.225,0.151,6.548,1.517,,,A1,30 seconds
3.196,3.464,8.92,2.632,,,A1,30 seconds
8.104,2.112,5.466,0.478,,,A1,30 seconds
15.59,0.618,1.005,6.624,,,A1,30 seconds
6.185,1.301,17.022,6.851,,,A1,30 seconds
0.362,3.452,1.08,19.944,,,A1,30 seconds
7.819,9.456,0.976,1.372,,,A1,30 seconds
4.591,7.051,2.61,4.192,,,A1,30 seconds
2.496,3.735,2.648,3.464,,,A1,30 seconds
6.766,11.149,0.464,7.392,,,A1,30 seconds
2.013,3.592,5.893,2.055,,,A1,30 seconds
5.872,5.898,6.889,2.155,,,A1,30 seconds
12.345,3.706,6.887,1.906,,,A1,30 seconds
4.574,1.062,3.085,4.446,,,A1,30 seconds
6.726,9.484,1.69,8.26,,,A1,30 seconds
6.14,4.349,4.679,5.77,,,A1,30 seconds
0.008,4.691,11.073,8.894,,,A1,30 seconds
9.698,0.691,13.483,0.129,,,A1,30 seconds
0.578,11.166,8.32,0.279,,,A1,30 seconds
6.299,20.514,2.667,3.894,,,A1,30 seconds
3.493,11.462,3.787,4.873,,,A1,30 seconds
1.984,6.965,0.824,3.201,,,A1,30 seconds
20.087,0.905,2.155,2.995,,,A1,30 seconds
4.961,10.423,0.39,4.966,,,A1,30 seconds
6.128,6.996,0.599,7.1,,,A1,30 seconds
5.144,14.565,8.398,4.973,,,A1,30 seconds
5.884,0.407,0.682,1.609,,,A1,30 seconds
1.83,7.636,1.235,5.431,,,A1,30 seconds
1.318,16.97,2.601,0.357,,,A1,30 seconds
2.655,3.993,0.122,2.859,,,A1,30 seconds
1.005,9.769,5.625,1.681,,,A1,30 seconds
4.79,0.919,16.054,1.13,,,A1,30 seconds
18.379,3.936,2.402,5.748,,,A1,30 seconds
9.071,3.822,3.322,3.172,,,A1,30 seconds
6.043,1.714,2.001,2.712,,,A1,30 seconds
3.481,10.623,8.075,0.76,,,A1,30 seconds
6.299,0.191,6.51,1.692,,,A1,30 seconds
5.075,4.446,9.906,5.594,,,A1,30 seconds
15.464,3.094,8.616,0.49,,,A1,30 seconds
5.115,5.357,2.029,3.784,,,A1,30 seconds
8.234,0.333,1.394,1.031,,,A1,30 seconds
5.217,10.765,14.831,5.855,,,A1,30 seconds
12.02,6.908,9.318,7.855,,,A1,30 seconds
4.534,7.634,0.931,11.078,,,A1,30 seconds
19.489,10.822,4.83,8.175,,,A1,30 seconds
6.925,1.842,0.483,4.79,,,A1,30 seconds
5.303,5.53,0.995,17.24,,,A1,30 seconds
13.409,1.36,6.086,1.307,4.587,1.715,B1,30 seconds
23.716,0.504,3.888,7.389,2.475,0.107,B1,30 seconds
11.002,1.191,0.548,1.108,1.375,2.745,B1,30 seconds
22.275,8.705,14.412,3.863,1.232,3.868,B1,30 seconds
8.874,4.191,0.294,3.058,6.82,2.187,B1,30 seconds
11.078,2.42,5.351,1.352,2.327,2.489,B1,30 seconds
17.308,4.539,0.364,7.264,2.637,8.878,B1,30 seconds
9.349,14.753,0.413,2.229,1.027,2.219,B1,30 seconds
3.204,0.081,7.758,1.786,3.683,5.847,B1,30 seconds
11.977,7.328,6.298,2.613,6.206,0.084,B1,30 seconds
19.258,9.065,6.156,8.554,1.05,4.552,B1,30 seconds
8.79,3.776,1.127,0.915,0.018,1.876,B1,30 seconds
1.721,6.51,1.133,2.642,8.169,2.367,B1,30 seconds
4.984,13.07,9.425,3.185,4.177,0.065,B1,30 seconds
4.764,3.492,6.939,7.656,5.618,9.37,B1,30 seconds
3.874,4.857,3.775,0.451,9.552,2.335,B1,30 seconds
9.764,10.599,0.04,3.246,3.612,0.55,B1,30 seconds
4.942,7.815,2.441,5.736,6.199,0.688,B1,30 seconds
4.001,3.111,9.194,4.636,0.893,1.638,B1,30 seconds
7.357,1.797,2.385,5.726,1.585,6.755,B1,30 seconds
22.487,11.383,6.072,1.074,1.253,1.429,B1,30 seconds
4.348,8.217,1.189,14.117,0.061,0.382,B1,30 seconds
5.526,3.619,7.306,2.348,8.041,0.467,B1,30 seconds
24.521,4.043,8.205,6.194,1.671,4.091,B1,30 seconds
11.299,2.78,5.654,19.819,1.904,3.845,B1,30 seconds
5.696,3.174,3.416,6.255,1.627,4.147,B1,30 seconds
1.543,17.52,0.407,5.334,0.533,2.388,B1,30 seconds
2.602,4.997,11.553,3.916,5.717,1.726,B1,30 seconds
2.611,13.587,16.37,6.584,2.943,4.486,B1,30 seconds
7.357,0.937,2.526,6.681,4.892,0.96,B1,30 seconds
0.364,18.757,5.04,10.811,4.002,8.099,B1,30 seconds
10.027,10.981,1.401,3.365,1.982,2.189,B1,30 seconds
5.781,2.729,9.369,0.598,4.749,3.778,B1,30 seconds
18.918,6.594,12.773,3.068,2.171,4.324,B1,30 seconds
7.739,7.561,3.218,3.778,6.474,7.084,B1,30 seconds
13.197,11.544,4.772,0.862,0.285,12.143,B1,30 seconds
0.025,6.785,8.205,6.385,2.913,1.002,B1,30 seconds
0.364,11.489,3.421,1.564,0.28,0.338,B1,30 seconds
2.356,1.021,14.031,5.122,3.734,2.184,B1,30 seconds
19.003,8.099,0.336,0.091,1.163,7.543,B1,30 seconds
17.571,18.991,6.261,4.306,0.499,0.084,B1,30 seconds
19.69,17.605,12.124,3.259,8.706,5.9,B1,30 seconds
3.289,5.492,14.11,7.58,2.948,0.939,B1,30 seconds
21.47,8.726,2.56,3.323,1.627,0.735,B1,30 seconds
13.375,14.371,4.786,8.078,4.319,7.2,B1,30 seconds
12.943,5.251,7.49,6.255,5.166,0.642,B1,30 seconds
7.951,2.411,2.187,6.001,4.919,2.104,B1,30 seconds
7.103,12.019,6.058,3.037,0.299,0.859,B1,30 seconds
27.106,12.464,1.726,4.117,2.461,5.367,B1,30 seconds
1.721,7.476,11.883,3.893,8.239,3.13,B1,30 seconds
13.799,0.695,11.615,5.103,7.096,0.494,B1,30 seconds
7.484,2.2,5.696,1.53,6.955,0.772,B1,30 seconds
0.017,0.102,2.955,7.071,1.204,3.972,B1,30 seconds
19.342,1.458,2.413,12.169,4.037,0.642,B1,30 seconds
9.349,9.849,0.718,5.855,4.15,2.489,B1,30 seconds
6.204,5.196,13.841,6.84,14.929,3.444,B1,30 seconds
8.408,11.616,3.557,0.79,2.349,4.555,B1,30 seconds
12.604,5.874,6.877,8.194,2.194,2.15,B1,30 seconds
24.86,2.759,3.826,5.567,0.993,7.179,B1,30 seconds
8.79,4.658,5.654,3.799,0.589,2.346,B1,30 seconds
16.376,13.333,1.212,0.1,0.935,3.99,B1,30 seconds
11.883,2.729,4.786,4.052,6.536,2.284,B1,30 seconds
3.416,3.988,6.453,1.096,1.02,2.25,B1,30 seconds
16.257,9.913,0.285,1.148,1.168,6.798,B1,30 seconds
10.663,5.344,1.254,2.697,3.542,4.064,B1,30 seconds
0.314,5.42,0.78,0.163,4.327,0.608,B1,30 seconds
9.646,8.006,1.339,9.338,5.026,4.859,B1,30 seconds
3.958,17.973,6.566,4.179,4.715,7.49,B1,30 seconds
7.654,11.171,6.255,1.765,0.004,2.851,B1,30 seconds
1.5,7.188,0.732,6.912,5.35,7.439,B1,30 seconds
9.052,9.256,2.992,3.429,3.861,1.742,B1,30 seconds
8.112,2.305,0.025,7.518,1.791,2.69,B1,30 seconds
18.206,11.354,11.728,5.132,8.599,1.853,B1,30 seconds
9.01,4.424,2.201,4.581,7.181,5.124,B1,30 seconds
13.748,4.361,6.99,6.827,3.614,1.17,B1,30 seconds
5.187,3.437,7.866,13.354,1.564,0.508,B1,30 seconds
11.977,4.213,7.363,2.674,5.18,0.181,B1,30 seconds
30.997,0.259,3.416,8.692,12.054,5.895,B1,30 seconds
21.046,11.002,1.82,4.901,2.469,4.276,B1,30 seconds
12.561,17.372,0.605,8.067,9.115,3.887,B1,30 seconds
26.844,9.603,7.216,7.974,8.713,5.087,B1,30 seconds
26.471,0.335,0.435,0.131,5.33,1.177,B1,30 seconds
14.096,10.993,0.011,4.88,1.367,0.063,B1,30 seconds
0.322,4.467,0.209,6.872,1.876,1.029,B1,30 seconds
4.391,21.292,0.709,2.897,4.602,5.058,B1,30 seconds
10.324,8.607,3.162,4.668,9.439,0.025,B1,30 seconds
5.662,19.406,8.968,3.681,0.435,1.606,B1,30 seconds
7.103,8.98,3.67,2.305,2.397,2.279,B1,30 seconds
1.373,4.107,5.464,1.18,5.266,6.109,B1,30 seconds
2.263,7.251,0.342,0.534,3.817,1.071,B1,30 seconds
9.722,9.023,8.14,6.404,1.839,7.5,B1,30 seconds
12.951,10.07,1.65,4.234,3.64,5.196,B1,30 seconds
6.204,2.272,16.206,2.134,4.348,2.701,B1,30 seconds
0.873,22.317,2.625,10.358,1.692,1.403,B1,30 seconds
14.011,4.7,0.737,5.461,0.322,8.427,B1,30 seconds
5.272,5.887,4.843,5.27,7.039,1.816,B1,30 seconds
2.729,1.127,6.792,4.488,4.792,0.928,B1,30 seconds
10.231,5.789,7.244,4.02,6.522,0.153,B1,30 seconds
17.308,4.615,2.207,1.839,3.811,1.145,B1,30 seconds
17.486,0.25,0.082,1.998,3.373,4.587,B1,30 seconds
8.33,13.603,1.931,1.581,3.741,0.244,C,30 seconds
1.029,3.53,5.596,2.426,3.785,6.617,C,30 seconds
1.029,12.357,1.419,5.062,1.337,3.637,C,30 seconds
1.991,12.048,1.3,0.285,0.857,2.268,C,30 seconds
7.67,5.04,1.135,3.568,3.305,4.684,C,30 seconds
0.218,4.695,5.536,6.07,3.816,2.296,C,30 seconds
2.516,8.391,1.751,1.427,2.224,1.349,C,30 seconds
13.333,10.696,4.47,3.722,8.593,1.265,C,30 seconds
7.203,1.495,0.459,5.033,0.797,3.844,C,30 seconds
2.487,2.802,2.682,0.323,1.623,3.784,C,30 seconds
7.219,6.572,1.705,12.605,4.567,0.606,C,30 seconds
2.471,6.279,0.969,0.544,0.353,2.56,C,30 seconds
15.541,4.087,7.895,4.751,2.035,4.719,C,30 seconds
8.436,2.246,5.356,1.975,1.675,4.341,C,30 seconds
21.355,5.581,1.975,2.137,0.511,1.912,C,30 seconds
7.789,8.6,4.455,4.571,3.162,3.18,C,30 seconds
7.489,1.232,3.222,8.882,7.954,2.499,C,30 seconds
9.502,0.443,6.692,5.416,1.908,6.876,C,30 seconds
13.333,9.269,10.283,5.153,7.181,1.879,C,30 seconds
8.075,1.727,11.755,0.578,6.618,3.737,C,30 seconds
7.219,8.21,5.746,3.316,2.073,4.149,C,30 seconds
10.329,5.619,6.978,3.118,3.447,3.523,C,30 seconds
1.089,3.072,1.57,3.53,1.247,4.465,C,30 seconds
5.851,15.811,1.9,6.363,1.247,1.546,C,30 seconds
11.124,11.462,6.182,1.18,7.789,2.888,C,30 seconds
19.883,8.639,0.007,4.605,6.34,1.079,C,30 seconds
8.6,0.06,7.279,1.202,4.852,3.089,C,30 seconds
1.344,0.842,2.832,6.595,4.266,8.814,C,30 seconds
5.491,2.313,5.716,0.972,2.727,0.443,C,30 seconds
7.129,0.848,3.313,2.798,0.42,0.336,C,30 seconds
10.764,2.216,0.278,0.42,4.221,2.858,C,30 seconds
8.841,2.464,5.371,2.013,3.297,0.105,C,30 seconds
3.163,16.442,2.321,8.188,5.603,2.167,C,30 seconds
0.263,5.491,0.594,2.843,2.711,1.502,C,30 seconds
1.45,3.478,6.257,1.75,2.381,3.057,C,30 seconds
1.434,3.688,3.538,2.622,3.335,5.868,C,30 seconds
5.265,1.968,0.383,7.057,5.138,1.135,C,30 seconds
18.831,3.072,8.705,4.623,5.063,1.551,C,30 seconds
8.014,2.268,6.873,3.568,0.526,1.699,C,30 seconds
7.715,10.576,1.6,2.663,4.68,1.168,C,30 seconds
3.388,2.471,12.341,0.781,1.307,3.468,C,30 seconds
1.765,1.795,2.516,3.884,3.297,1.901,C,30 seconds
4.139,13.378,1.435,0.673,3.861,0.595,C,30 seconds
5.265,17.501,2.051,4.071,3.343,0.104,C,30 seconds
6.453,4.454,3.538,6.441,3.846,1.925,C,30 seconds
13.468,9.705,6.722,7.733,1.187,2.308,C,30 seconds
8.346,1.901,1.179,1.349,1.54,0.465,C,30 seconds
2.667,13.085,7.835,0.853,3.049,0.634,C,30 seconds
16.848,1.044,6.708,2.065,1.3,6.381,C,30 seconds
3.163,3.147,8.195,2.358,2.171,2.047,C,30 seconds
6.002,3.102,6.467,5.901,4.192,2.819,C,30 seconds
14.279,4.943,13.709,6.043,0.293,0.385,C,30 seconds
15.135,0.848,5.37,1.506,5.889,3.277,C,30 seconds
3.568,4.139,0.848,7.692,5.649,2.008,C,30 seconds
5.912,6.798,0.052,7.924,4.056,1.354,C,30 seconds
6.707,10.779,8.931,0.053,2.944,1.028,C,30 seconds
2.922,2.426,2.877,0.459,2.171,0.284,C,30 seconds
22.001,1.029,4.395,1.975,2.629,2.12,C,30 seconds
21.355,2.291,0.578,9.596,4.875,0.178,C,30 seconds
1.585,0.842,7.113,6.081,1.817,3.868,C,30 seconds
7.129,7.902,3.793,0.526,1.976,0.346,C,30 seconds
6.633,0.195,5.281,5.45,2.366,0.177,C,30 seconds
11.89,0.871,1.074,2.881,0.721,2.881,C,30 seconds
10.779,0.781,1.525,5.141,6.204,2.251,C,30 seconds
17.389,7.85,1.12,0.432,9.907,4.234,C,30 seconds
6.858,1.908,2.096,0.143,8.3,6.989,C,30 seconds
6.047,1.141,1.029,0.075,1.78,2.689,C,30 seconds
0.623,3.012,5.325,8.105,0.894,6.295,C,30 seconds
3.057,4.837,0.383,3.755,3.297,0.572,C,30 seconds
0.894,3.395,6.392,3.568,0.428,3.749,C,30 seconds
16.278,2.577,0.248,1.991,6.805,0.537,C,30 seconds
16.503,7.602,9.832,5.315,0.976,2.443,C,30 seconds
