0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Sampling Interval
6.833,1.492,5.685,6.323,2.953,2.955,B2,30 seconds
8.979,6.113,4.47,4.573,1.733,5.39,B2,30 seconds
0.444,11.522,8.344,0.176,0.053,3.768,B2,30 seconds
5.996,1.471,2.526,3.743,0.102,2.186,B2,30 seconds
32.492,0.421,2.961,0.104,0.864,0.077,B2,30 seconds
25.867,13.575,2.684,4.072,0.903,2.357,B2,30 seconds
15.793,9.355,7.144,1.809,4.923,0.681,B2,30 seconds
11.219,5.133,10.21,8.83,3.034,2.331,B2,30 seconds
7.813,0.514,2.964,0.001,4.278,2.684,B2,30 seconds
17.892,2.565,0.691,8.119,6.54,2.326,B2,30 seconds
4.827,4.503,2.401,4.093,0.784,0.174,B2,30 seconds
8.982,4.547,6.46,7.836,0.709,0.958,B2,30 seconds
28.107,2.077,6.662,6.812,1.603,0.384,B2,30 seconds
20.549,0.048,3.539,5.273,4.052,0.961,B2,30 seconds
6.32,4.058,0.895,1.643,1.795,1.424,B2,30 seconds
3.055,5.667,3.928,4.422,4.742,0.296,B2,30 seconds
14.951,14.274,5.045,1.366,0.421,2.818,B2,30 seconds
0.675,5.18,3.63,3.022,0.429,0.745,B2,30 seconds
20.782,7.953,0.598,5.422,4.711,0.465,B2,30 seconds
10.568,4.736,2.606,3.36,1.461,0.841,B2,30 seconds
15.93,16.514,0.895,1.797,0.147,1.267,B2,30 seconds
0.069,7.253,3.897,1.842,5.473,2.728,B2,30 seconds
20.551,0.374,3.614,4.302,3.788,3.521,B2,30 seconds
1.748,13.715,0.351,2.343,1.214,0.996,B2,30 seconds
1.797,9.588,3.49,5.119,2.194,2.67,B2,30 seconds
14.204,3.22,11.981,1.48,7.224,4.058,B2,30 seconds
3.15,8.583,4.843,4.13,0.732,2.719,B2,30 seconds
3.383,2.894,1.111,6.88,0.748,0.287,B2,30 seconds
21.529,5.27,5.372,5.236,0.413,2.223,B2,30 seconds
5.994,3.124,3.539,7.151,0.421,3.101,B2,30 seconds
13.134,2.894,4.068,6.705,0.39,0.555,B2,30 seconds
8.233,2.73,4.765,2.007,4.617,2.264,B2,30 seconds
22.324,6.274,6.849,4.072,1.538,3.22,B2,30 seconds
12.294,2.077,13.6,1.597,6.361,0.553,B2,30 seconds
2.357,13.505,13.118,8.142,1.572,1.208,B2,30 seconds
24.983,11.594,11.952,0.328,0.483,1.972,B2,30 seconds
8.28,13.764,8.018,6.32,3.92,3.754,B2,30 seconds
25.916,1.074,7.829,2.532,3.272,2.048,B2,30 seconds
37.764,0.608,4.488,5.215,0.398,2.565,B2,30 seconds
9.073,9.143,6.836,0.223,1.362,1.912,B2,30 seconds
10.195,12.924,1.999,0.034,5.358,2.028,B2,30 seconds
10.568,0.279,8.357,12.642,2.619,1.617,B2,30 seconds
11.081,0.818,17.532,0.244,2.448,5.121,B2,30 seconds
1.188,1.354,3.15,1.482,5.654,1.41,B2,30 seconds
11.872,2.308,1.797,0.71,1.688,1.048,B2,30 seconds
0.025,2.471,7.489,1.748,5.947,1.063,B2,30 seconds
3.661,11.431,4.332,4.853,4.695,2.11,B2,30 seconds
