0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Sampling Interval
16.213,5.909,0.343,0.581,0.762,1.595,B2,30 seconds
8.152,3.384,0.343,3.771,0.101,1.142,B2,30 seconds
3.395,6.203,3.965,1.568,1.542,1.142,B2,30 seconds
20.488,1.503,3.965,3.853,0.101,1.142,B2,30 seconds
3.414,5.909,2.661,1.568,0.762,1.595,B2,30 seconds
12.727,6.909,2.661,1.568,1.542,1.595,B2,30 seconds
20.488,4.746,6.183,3.771,0.762,1.595,B2,30 seconds
5.067,4.159,2.661,1.568,0.101,1.142,B2,30 seconds
3.414,6.203,2.661,1.568,1.542,1.142,B2,30 seconds
14.23,3.384,2.661,3.853,1.542,1.595,B2,30 seconds
0.641,6.203,2.661,3.771,1.542,1.142,B2,30 seconds
20.488,6.203,3.965,3.771,1.542,1.142,B2,30 seconds
14.23,3.384,0.343,1.568,0.762,1.142,B2,30 seconds
5.067,4.746,6.183,3.853,0.762,1.595,B2,30 seconds
16.063,3.772,0.343,0.581,0.762,1.595,B2,30 seconds
5.067,4.746,5.667,0.581,1.542,1.142,B2,30 seconds
10.925,6.203,3.965,3.853,1.542,1.595,B2,30 seconds
4.998,6.909,3.965,0.581,1.542,1.142,B2,30 seconds
6.399,1.503,5.667,3.771,0.101,1.595,B2,30 seconds
1.693,6.203,0.343,1.568,0.101,1.595,B2,30 seconds
16.213,4.159,2.661,3.771,0.762,1.142,B2,30 seconds
5.067,5.909,3.965,1.568,1.542,1.142,B2,30 seconds
6.399,5.909,6.183,3.771,1.542,1.142,B2,30 seconds
12.727,5.909,3.965,1.568,0.762,1.595,B2,30 seconds
3.414,3.772,2.661,0.581,1.542,1.142,B2,30 seconds
14.23,3.384,5.667,1.568,0.101,1.142,B2,30 seconds
5.067,4.159,0.343,3.853,0.762,1.595,B2,30 seconds
0.641,5.909,2.661,1.568,0.101,1.142,B2,30 seconds
8.152,4.159,6.183,1.568,0.762,1.595,B2,30 seconds
1.693,3.384,5.667,3.853,0.762,1.142,B2,30 seconds
10.925,1.503,5.667,3.853,0.762,1.142,B2,30 seconds
16.063,4.159,3.965,1.568,0.101,1.595,B2,30 seconds
20.488,6.909,3.965,3.771,0.101,1.595,B2,30 seconds
3.414,5.909,3.965,1.568,0.762,1.142,B2,30 seconds
8.152,1.503,5.667,3.771,0.762,1.595,B2,30 seconds
10.925,1.503,0.343,3.771,1.542,1.142,B2,30 seconds
0.641,4.159,5.667,1.568,1.542,1.595,B2,30 seconds
3.395,3.772,5.667,0.581,1.542,1.595,B2,30 seconds
8.152,6.909,2.661,0.581,0.101,1.595,B2,30 seconds
1.693,3.384,5.667,0.581,0.101,1.142,B2,30 seconds
5.899,3.772,6.183,3.771,0.101,1.142,B2,30 seconds
3.414,6.203,6.183,3.853,0.762,1.142,B2,30 seconds
5.899,6.203,3.965,1.568,0.762,1.595,B2,30 seconds
3.414,4.746,0.343,3.771,0.101,1.595,B2,30 seconds
10.925,6.909,2.661,1.568,0.762,1.142,B2,30 seconds
5.067,6.909,6.183,3.771,1.542,1.142,B2,30 seconds
1.693,5.909,0.343,0.581,0.101,1.595,B2,30 seconds
16.213,1.503,5.667,0.581,1.542,1.142,B2,30 seconds
6.399,3.384,5.667,0.581,1.542,1.142,B2,30 seconds
3.414,6.203,0.343,0.581,0.101,1.142,B2,30 seconds
5.899,6.909,0.343,1.568,1.542,1.595,B2,30 seconds
4.998,1.503,2.661,3.771,1.542,1.595,B2,30 seconds
1.693,6.909,3.965,3.771,0.762,1.595,B2,30 seconds
8.152,4.746,2.661,3.853,0.101,1.595,B2,30 seconds
3.414,3.384,2.661,3.853,0.101,1.595,B2,30 seconds
20.488,3.384,3.965,1.568,0.101,1.142,B2,30 seconds
1.693,5.909,2.661,1.568,0.762,1.142,B2,30 seconds
20.488,5.909,2.661,3.771,0.101,1.595,B2,30 seconds
20.488,4.746,5.667,3.771,0.101,1.595,B2,30 seconds
12.727,4.159,3.965,1.568,1.542,1.595,B2,30 seconds
5.067,6.909,5.667,1.568,1.542,1.595,B2,30 seconds
14.23,6.909,0.343,3.771,0.101,1.595,B2,30 seconds
20.488,3.384,2.661,3.771,0.101,1.142,B2,30 seconds
8.152,3.384,5.667,1.568,0.762,1.142,B2,30 seconds
16.063,5.909,3.965,3.771,0.101,1.595,B2,30 seconds
16.063,1.503,2.661,3.853,1.542,1.142,B2,30 seconds
6.399,4.159,6.183,3.853,0.762,1.595,B2,30 seconds
8.152,3.772,6.183,0.581,0.762,1.595,B2,30 seconds
3.395,3.384,0.343,3.771,0.762,1.142,B2,30 seconds
3.395,4.159,5.667,1.568,0.762,1.142,B2,30 seconds
12.727,6.909,6.183,1.568,0.762,1.595,B2,30 seconds
10.925,6.909,6.183,3.771,1.542,1.142,B2,30 seconds
6.399,6.203,6.183,3.771,0.762,1.142,B2,30 seconds
4.998,3.384,6.183,0.581,1.542,1.595,B2,30 seconds
5.067,5.909,6.183,1.568,1.542,1.595,B2,30 seconds
3.414,4.159,2.661,0.581,0.101,1.595,B2,30 seconds
8.152,6.203,3.965,3.853,1.542,1.595,B2,30 seconds
8.152,6.203,5.667,3.771,0.762,1.595,B2,30 seconds
5.067,1.503,3.965,3.771,0.762,1.595,B2,30 seconds
14.23,4.159,2.661,3.771,1.542,1.142,B2,30 seconds
16.063,3.772,5.667,1.568,0.762,1.595,B2,30 seconds
0.641,3.772,2.661,3.853,0.762,1.142,B2,30 seconds
0.641,1.503,5.667,3.853,0.762,1.595,B2,30 seconds
0.641,4.159,2.661,3.853,1.542,1.142,B2,30 seconds
14.23,6.909,5.667,0.581,1.542,1.142,B2,30 seconds
16.063,3.772,5.667,1.568,1.542,1.142,B2,30 seconds
10.925,4.159,5.667,0.581,0.762,1.595,B2,30 seconds
5.899,3.772,6.183,3.853,0.762,1.595,B2,30 seconds
16.063,4.746,0.343,0.581,1.542,1.142,B2,30 seconds
16.213,6.203,3.965,3.853,0.101,1.142,B2,30 seconds
10.925,3.384,0.343,3.853,0.101,1.142,B2,30 seconds
1.693,4.159,3.965,3.771,0.101,1.595,B2,30 seconds
8.152,6.909,5.667,3.771,0.762,1.595,B2,30 seconds
12.727,4.746,2.661,1.568,1.542,1.142,B2,30 seconds
6.399,3.384,2.661,3.771,0.762,1.142,B2,30 seconds
5.899,6.909,6.183,0.581,0.762,1.595,B2,30 seconds
10.925,5.909,3.965,0.581,0.762,1.595,B2,30 seconds
5.899,3.772,3.965,3.853,0.101,1.142,B2,30 seconds
4.998,3.384,0.343,1.568,0.101,1.142,B2,30 seconds
8.152,6.203,0.343,3.853,0.762,1.595,B2,30 seconds
7.936,1.299,2.239,2.239,,,A1,30 seconds
0.874,1.299,2.239,2.239,,,A1,30 seconds
0.874,5.864,1.841,2.239,,,A1,30 seconds
4.663,1.299,1.841,1.841,,,A1,30 seconds
3.229,1.299,1.841,1.841,,,A1,30 seconds
4.605,3.951,2.239,2.239,,,A1,30 seconds
3.229,5.864,1.841,1.841,,,A1,30 seconds
4.663,3.951,2.239,1.841,,,A1,30 seconds
3.229,1.299,1.841,1.841,,,A1,30 seconds
4.663,1.299,1.841,1.841,,,A1,30 seconds
0.874,1.299,1.841,2.239,,,A1,30 seconds
3.229,3.951,1.841,1.841,,,A1,30 seconds
0.874,1.299,2.239,2.239,,,A1,30 seconds
4.663,5.864,2.239,1.841,,,A1,30 seconds
0.874,1.299,2.239,1.841,,,A1,30 seconds
4.663,5.864,1.841,2.239,,,A1,30 seconds
3.229,1.299,2.239,1.841,,,A1,30 seconds
0.874,3.951,1.841,2.239,,,A1,30 seconds
3.229,5.864,2.239,2.239,,,A1,30 seconds
3.229,5.864,1.841,2.239,,,A1,30 seconds
4.605,1.299,2.239,2.239,,,A1,30 seconds
3.229,1.299,1.841,2.239,,,A1,30 seconds
4.605,1.299,2.239,2.239,,,A1,30 seconds
4.663,1.299,2.239,2.239,,,A1,30 seconds
7.936,3.951,2.239,1.841,,,A1,30 seconds
4.605,5.864,1.841,1.841,,,A1,30 seconds
3.229,5.864,1.841,1.841,,,A1,30 seconds
3.229,1.299,1.841,2.239,,,A1,30 seconds
3.229,3.951,1.841,1.841,,,A1,30 seconds
