0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Feature,Frequency Density Group
50.0,25.0,66.675,12.5,75.0,37.5,B1,select word,rare
100.0,25.0,66.675,37.5,33.325,18.75,B1,select word,rare
350.0,75.0,50.0,62.5,25.0,12.5,B1,select word,rare
100.0,25.0,16.675,37.5,116.675,43.75,B1,select word,rare
250.0,0.0,50.0,37.5,58.325,18.75,B1,select word,rare
50.0,75.0,133.325,37.5,50.0,12.5,B1,select word,rare
150.0,50.0,50.0,25.0,33.325,18.75,B1,select word,rare
50.0,25.0,100.0,25.0,25.0,12.5,B1,select word,rare
100.0,50.0,16.675,12.5,0.0,6.25,B1,select word,rare
100.0,25.0,16.675,87.5,0.0,37.5,B1,select word,rare
150.0,75.0,16.675,37.5,8.325,6.25,B1,select word,rare
0.0,50.0,33.325,25.0,0.0,25.0,B1,select word,rare
50.0,25.0,33.325,25.0,33.325,12.5,B1,select word,rare
50.0,50.0,50.0,37.5,25.0,12.5,B1,select word,rare
50.0,75.0,116.675,12.5,16.675,0.0,B1,select word,rare
100.0,75.0,50.0,50.0,16.675,6.25,B1,select word,rare
100.0,75.0,83.325,12.5,8.325,37.5,B1,select word,rare
50.0,0.0,16.675,25.0,25.0,12.5,B1,select word,rare
0.0,50.0,100.0,0.0,25.0,56.25,B1,select word,rare
100.0,100.0,16.675,12.5,33.325,37.5,B1,select word,rare
0.0,25.0,16.675,37.5,0.0,43.75,B1,select word,rare
50.0,100.0,66.675,12.5,25.0,18.75,B1,select word,rare
50.0,75.0,66.675,25.0,25.0,37.5,B1,select word,rare
200.0,75.0,50.0,25.0,25.0,6.25,B1,select word,rare
0.0,50.0,33.325,50.0,50.0,25.0,B1,select word,rare
0.0,25.0,50.0,62.5,0.0,50.0,B1,select word,rare
0.0,75.0,33.325,50.0,0.0,25.0,B1,select word,rare
50.0,25.0,33.325,12.5,33.325,50.0,B1,select word,rare
100.0,0.0,16.675,87.5,0.0,12.5,B1,select word,rare
100.0,100.0,50.0,50.0,41.675,6.25,B1,select word,rare
