0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Feature,Frequency Density Group
100.0,72.55,92.775,19.925,0.075,4.925,B1,select word,rare
47.425,37.225,65.125,40.025,9.775,19.925,B1,select word,rare
5.15,9.775,12.375,4.925,19.95,4.925,B1,select word,rare
5.15,174.475,92.775,4.925,19.95,25.05,B1,select word,rare
57.725,17.65,65.125,4.925,19.95,25.05,B1,select word,rare
57.725,10.6,5.15,19.925,9.775,19.925,B1,select word,rare
5.15,174.475,5.15,40.025,19.95,19.925,B1,select word,rare
110.3,37.225,5.15,40.025,19.95,25.05,B1,select word,rare
100.0,92.125,65.125,4.925,19.95,25.05,B1,select word,rare
100.0,72.35,5.15,40.025,9.775,25.05,B1,select word,rare
5.15,72.35,40.2,4.925,9.775,19.925,B1,select word,rare
110.3,92.125,65.125,19.925,9.775,19.925,B1,select word,rare
48.15,72.35,5.15,19.925,9.775,19.925,B1,select word,rare
100.0,92.125,65.125,19.925,9.775,4.925,B1,select word,rare
5.15,100.0,92.775,4.925,0.075,19.925,B1,select word,rare
48.15,37.225,65.125,40.025,0.075,4.925,B1,select word,rare
110.3,37.225,65.125,19.925,19.95,19.925,B1,select word,rare
57.725,37.225,5.15,4.925,19.95,25.05,B1,select word,rare
57.725,37.225,5.15,4.925,9.775,19.925,B1,select word,rare
5.15,92.125,4.65,19.925,9.775,25.05,B1,select word,rare
57.725,100.0,4.65,4.925,19.95,25.05,B1,select word,rare
57.725,100.0,40.2,19.925,9.775,4.925,B1,select word,rare
57.725,9.775,5.15,19.925,9.775,4.925,B1,select word,rare
48.15,17.65,4.65,10.05,9.775,25.05,B1,select word,rare
100.0,100.0,40.2,19.925,9.775,25.05,B1,select word,rare
5.15,37.225,65.125,10.05,9.775,19.925,B1,select word,rare
48.15,100.0,4.65,4.925,0.075,19.925,B1,select word,rare
100.0,10.6,92.775,19.925,19.95,4.925,B1,select word,rare
57.725,37.225,5.15,40.025,9.775,19.925,B1,select word,rare
5.15,10.6,5.15,19.925,0.075,4.925,B1,select word,rare
47.425,17.65,65.125,40.025,19.95,4.925,B1,select word,rare
5.15,92.125,65.125,4.925,0.075,4.925,B1,select word,rare
57.725,37.225,12.375,19.925,9.775,4.925,B1,select word,rare
5.15,100.0,65.125,10.05,9.775,19.925,B1,select word,rare
5.15,37.225,92.775,10.05,19.95,4.925,B1,select word,rare
100.0,37.225,5.15,19.925,9.775,4.925,B1,select word,rare
57.725,37.225,40.2,19.925,9.775,19.925,B1,select word,rare
110.3,72.35,5.15,40.025,9.775,25.05,B1,select word,rare
100.0,10.6,40.2,19.925,0.075,4.925,B1,select word,rare
48.15,100.0,4.65,19.925,9.775,4.925,B1,select word,rare
48.15,174.475,12.375,4.925,9.775,19.925,B1,select word,rare
100.0,92.125,92.775,4.925,9.775,25.05,B1,select word,rare
57.725,37.225,65.125,40.025,19.95,4.925,B1,select word,rare
100.0,37.225,65.125,4.925,0.075,19.925,B1,select word,rare
48.15,37.225,92.775,4.925,9.775,25.05,B1,select word,rare
162.875,100.0,40.2,10.05,9.775,4.925,B1,select word,rare
5.15,10.6,92.775,40.025,19.95,4.925,B1,select word,rare
100.0,72.35,65.125,19.925,19.95,19.925,B1,select word,rare
5.15,100.0,92.775,10.05,9.775,25.05,B1,select word,rare
100.0,9.775,92.775,4.925,0.075,19.925,B1,select word,rare
57.725,174.475,65.125,4.925,0.075,25.05,B1,select word,rare
110.3,92.125,65.125,4.925,0.075,4.925,B1,select word,rare
57.725,10.6,65.125,40.025,9.775,4.925,B1,select word,rare
5.15,37.225,92.775,19.925,0.075,25.05,B1,select word,rare
47.425,174.475,5.15,4.925,0.075,4.925,B1,select word,rare
48.15,92.125,40.2,19.925,9.775,19.925,B1,select word,rare
57.725,92.125,40.2,19.925,9.775,4.925,B1,select word,rare
110.3,72.35,40.2,19.925,9.775,4.925,B1,select word,rare
57.725,37.225,65.125,40.025,9.775,19.925,B1,select word,rare
5.15,174.475,65.125,4.925,0.075,19.925,B1,select word,rare
100.0,100.0,5.15,4.925,9.775,19.925,B1,select word,rare
110.3,174.475,92.775,4.925,0.075,19.925,B1,select word,rare
110.3,17.65,92.775,19.925,19.95,25.05,B1,select word,rare
162.875,92.125,5.15,19.925,9.775,25.05,B1,select word,rare
162.875,37.225,4.65,10.05,19.95,19.925,B1,select word,rare
110.3,100.0,65.125,10.05,0.075,4.925,B1,select word,rare
100.0,72.35,65.125,19.925,0.075,4.925,B1,select word,rare
47.425,37.225,65.125,4.925,19.95,4.925,B1,select word,rare
57.725,72.55,92.775,19.925,9.775,19.925,B1,select word,rare
110.3,72.55,4.65,19.925,0.075,4.925,B1,select word,rare
57.725,37.225,40.2,4.925,19.95,25.05,B1,select word,rare
47.425,9.775,12.375,19.925,0.075,19.925,B1,select word,rare
57.725,92.125,92.775,10.05,19.95,19.925,B1,select word,rare
5.15,100.0,65.125,10.05,9.775,19.925,B1,select word,rare
48.15,17.65,65.125,4.925,19.95,25.05,B1,select word,rare
57.725,10.6,4.65,4.925,19.95,25.05,B1,select word,rare
57.725,37.225,65.125,19.925,9.775,4.925,B1,select word,rare
47.425,100.0,5.15,19.925,9.775,19.925,B1,select word,rare
100.0,92.125,65.125,19.925,9.775,19.925,B1,select word,rare
5.15,100.0,92.775,4.925,0.075,4.925,B1,select word,rare
5.15,17.65,4.65,4.925,9.775,25.05,B1,select word,rare
5.15,37.225,40.2,4.925,19.95,25.05,B1,select word,rare
110.3,37.225,65.125,4.925,0.075,4.925,B1,select word,rare
47.425,10.6,65.125,19.925,19.95,19.925,B1,select word,rare
57.725,92.125,65.125,10.05,0.075,25.05,B1,select word,rare
100.0,92.125,12.375,40.025,9.775,19.925,B1,select word,rare
57.725,37.225,4.65,10.05,0.075,4.925,B1,select word,rare
110.3,10.6,92.775,10.05,0.075,25.05,B1,select word,rare
47.425,10.6,40.2,4.925,9.775,25.05,B1,select word,rare
47.425,10.6,40.2,40.025,0.075,19.925,B1,select word,rare
100.0,100.0,4.65,19.925,9.775,19.925,B1,select word,rare
5.15,17.65,4.65,19.925,19.95,19.925,B1,select word,rare
47.425,9.775,5.15,19.925,9.775,4.925,B1,select word,rare
110.3,72.35,4.65,19.925,19.95,4.925,B1,select word,rare
100.0,174.475,65.125,4.925,0.075,4.925,B1,select word,rare
57.725,100.0,65.125,4.925,0.075,4.925,B1,select word,rare
5.15,174.475,65.125,10.05,19.95,25.05,B1,select word,rare
47.425,10.6,92.775,4.925,9.775,25.05,B1,select word,rare
57.725,9.775,40.2,19.925,19.95,25.05,B1,select word,rare
110.3,72.35,5.15,40.025,19.95,4.925,B1,select word,rare
100.0,70.21,33.469,37.988,11.185,25.667,A3,select word,rare
95.667,11.296,25.667,55.481,0.21,25.667,A3,select word,rare
56.531,47.84,33.469,13.346,11.296,25.667,A3,select word,rare
19.16,28.123,33.062,13.346,11.185,25.667,A3,select word,rare
40.42,28.123,25.667,55.481,11.296,25.667,A3,select word,rare
95.667,40.864,33.062,3.494,0.21,25.938,A3,select word,rare
78.728,47.84,33.469,55.481,11.185,25.938,A3,select word,rare
60.284,47.84,18.272,13.346,11.185,25.938,A3,select word,rare
78.728,8.42,25.667,37.988,11.296,25.667,A3,select word,rare
20.568,18.272,33.062,55.481,0.21,25.938,A3,select word,rare
19.16,8.42,18.272,55.481,11.185,25.667,A3,select word,rare
19.16,11.296,25.667,3.494,11.185,25.667,A3,select word,rare
